Timestamp,CPU_Usage,Memory_Usage
2025-03-13 00:18:39,48.5,20.9
2025-03-13 00:18:45,1.0,20.8
2025-03-13 00:18:51,1.0,20.8
2025-03-13 00:18:57,1.0,20.8
2025-03-13 00:19:03,0.7,20.9
2025-03-13 00:19:09,0.0,20.9
